,구분,학교급,설립,교육지원청,학교명(유치원),엑셀,"중점학교
(유치원)",특별학급,연구학교,비고,행정구
0,1.0,유,공립(병설),남부,"서울대동초등학교
병설유치원",,○,,,,영등포구
1,2.0,유,공립(병설),남부,"서울영림초등학교
병설유치원",,○,,,,영등포구
2,3.0,유,사립,동부,사랑유치원,,○,,,,동대문구
3,4.0,유,사립,남부,서울남유치원,,○,,,신규,구로구
4,5.0,유,사립,중부,한일유치원,,○,,,,광진구
5,6.0,유,사립,동작관악,양문유치원,,○,,,,동작구
6,7.0,유,사립,성북강북,동선유치원,,○,,,,성북구
7,8.0,유,사립,성북강북,세아유치원,,○,,,,성북구
8,9.0,초,공립,남부,서울도신초등학교,,○,,,,영등포구
9,10.0,초,공립,성동광진,서울동의초등학교,,○,,,,광진구
10,11.0,초,공립,강서양천,서울등원초등학교,,○,,,,강서구
11,12.0,초,공립,남부,서울영림초등학교,,○,,,,영등포구
12,13.0,초,공립,동작관악,서울조원초등학교,,○,,,,관악구
13,14.0,중,사립,서부,선정중학교,,○,,,,은평구
14,15.0,중,사립,중부,오산중학교,,○,,,,용산구
15,16.0,고,사립,서부,선정고등학교,,○,,,,은평구
16,17.0,고,사립,동작관악,미림여자고등학교,,○,,,신규,관악구
17,18.0,초,공립,중부,서울광희초등학교,,○,○,,2학급,중구
18,19.0,초,공립,남부,서울구로남초등학교,,○,○,○,,구로구
19,20.0,초,공립,남부,서울구로초등학교,,○,○,,,구로구
20,21.0,초,공립,남부,서울대동초등학교,,○,○,○,2학급,영등포구
21,22.0,초,공립,남부,서울동구로초등학교,,○,○,,,구로구
22,23.0,초,공립,남부,서울문성초등학교,,○,○,,,금천구
23,24.0,초,공립,동작관악,서울문창초등학교,,○,○,,,동작구
24,25.0,초,공립,중부,서울보광초등학교,,○,○,,,용산구
25,26.0,초,공립,성동광진,서울성수초등학교,,○,○,,신규,성동구
26,27.0,초,공립,남부,서울신대림초등학교,,○,○,,,영등포구
27,28.0,초,공립,남부,서울신영초등학교,,○,○,,,영등포구
28,29.0,초,공립,남부,서울영일초등학교,,○,○,,,구로구
29,30.0,초,공립,중부,서울용암초등학교,,○,○,,,용산구
30,31.0,초,공립,중부,서울충무초등학교,,○,○,,,중구
31,32.0,초,공립,동부,서울홍파초등학교,,○,○,,,동대문구
32,33.0,초,사립,남부,지구촌학교,,○,○,,,구로구
33,34.0,중,공립,남부,구로중학교,,○,○,,,구로구
34,35.0,중,공립,남부,대림중학교,,○,○,,,영등포구
35,36.0,고,공립,본청,서울다솜관광고등학교,,○,○,,,종로구
36,37.0,기타,대안,남부,움틈학교(구로다가센터),,○,○,,신규,구로구
37,38.0,기타,대안,강남서초,다애다문화학교,,○,○,,,강남구
38,39.0,초,공립,성동광진,서울용마초등학교,,,,○,문체부,광진구
