,연번,급,설립,소속청,기관명,다문화교육연구학교,다문화교육유치원,다문화교육중점학교,다문화특별학급,행정구
0,1,초,공립,동부,서울면동초등학교,,,O,,중랑구
1,2,초,공립,동부,서울홍파초등학교,,,O,1.0,동대문구
2,3,초,공립,남부,서울구로남초등학교,O (1/2),,O,1.0,구로구
3,4,초,공립,남부,서울구로초등학교,O (2/2),,O,1.0,구로구
4,5,초,공립,남부,서울대동초등학교,,,O,2.0,영등포구
5,6,초,공립,남부,서울도신초등학교,,,O,1.0,영등포구
6,7,초,공립,남부,서울동구로초등학교,,,O,1.0,구로구
7,8,초,공립,남부,서울문성초등학교,,,O,1.0,금천구
8,9,초,공립,남부,서울신대림초등학교,,,O,1.0,영등포구
9,10,초,공립,남부,서울신영초등학교,,,O,1.0,영등포구
10,11,초,공립,남부,서울영림초등학교,,,O,1.0,영등포구
11,12,초,공립,남부,서울영일초등학교,,,O,1.0,구로구
12,13,초,공립,남부,서울정심초등학교,,,O,,금천구
13,14,초,공립,중부,서울광희초등학교,,,O,1.0,중구
14,15,초,공립,중부,서울보광초등학교,,,O,1.0,용산구
15,16,초,공립,중부,서울용암초등학교,,,O,1.0,용산구
16,17,초,공립,중부,서울이태원초등학교,,,O,1.0,용산구
17,18,초,공립,중부,서울충무초등학교,,,O,1.0,중구
18,19,초,공립,중부,서울창신초등학교,O (1/2),,,,종로구
19,20,초,국립,강서양천,서울방화초등학교,,,O,,강서구
20,21,초,공립,강남서초,서울교육대학교부설초등학교,,,O,,서초구
21,22,초,공립,동작관악,서울문창초등학교,,,O,1.0,동작구
22,23,초,공립,성동광진,서울동명초등학교,,,O,1.0,성동구
23,24,초,공립,성동광진,서울성수초등학교,,,O,1.0,성동구
24,25,초,공립,성동광진,서울용마초등학교,,,O,,광진구
25,26,중,사립,서부,선정중학교,,,O,,은평구
26,27,중,사립,중부,오산중학교,,,O,,용산구
27,28,중,공립,남부,구로중학교,,,O,1.0,구로구
28,29,중,공립,남부,대림중학교,,,O,1.0,영등포구
29,30,중,공립,성북강북,인수중학교,,,O,,강북구
30,31,고,사립,본청(서부),선정고등학교,,,O,,은평구
31,32,고,사립,본청(성동광진),댜원여자고등학교,,,O,,광진구
32,33,각종,사립,남부,지구촌학교(초),,,O,1.0,구로구
33,34,각종,공립,본청,서울다솜관광고등학교,,,O,1.0,종로구
34,35,유,사립,동부,사랑유치원,,O,,,동대문구
35,36,유,사립,동부,세하유치원,,O,,,동대문구
36,37,유,사립,서부,은평국제유치원,,O,,,은평구
37,38,유,공립,남부,서울구로남초등학교병설유치원,,O,,,구로구
38,39,유,사립,남부,서울남유치원,,O,,,구로구
39,40,유,공립,남부,서울대동초등학교병설유치원,,O,,,영등포구
40,41,유,공립,남부,서울영림초등학교병설유치원,,O,,,영등포구
41,42,유,사립,중부,신일유치원,,O,,,중구
42,43,유,사립,중부,봄샘유치원,,O,,,종로구
43,44,유,사립,중부,한일유치원,,O,,,광진구
44,45,유,사립,동작관악,꿈나라유치원,,O,,,관악구
45,46,유,사립,성북강북,동선유치원,,O,,,성북구
46,47,유,사립,성북강북,새삼선유치원,,O,,,성북구
47,48,유,사립,성북강북,세아유치원,,O,,,성북구
